Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Worldwide,Luxury Apparel,Revenue Comparison,Puerto Rico,million USD (US$),Statista Market Insights,60,63,41,48,59,61,63,63,66,68,70,72,74
Worldwide,Luxury Apparel,Revenue Comparison,Qatar,million USD (US$),Statista Market Insights,293,337,287,335,415,426,431,417,425,431,436,440,443
Worldwide,Luxury Apparel,Revenue Comparison,Republic of the Congo,million USD (US$),Statista Market Insights,8,8,6,7,10,11,11,12,13,14,14,15,16
Worldwide,Luxury Apparel,Revenue Comparison,Romania,million USD (US$),Statista Market Insights,298,305,275,291,271,280,289,290,293,296,298,301,303
Worldwide,Luxury Apparel,Revenue Comparison,Russia,million USD (US$),Statista Market Insights,"1,431","1,498",972,"1,384",601,676,699,688,693,691,692,691,692
Worldwide,Luxury Apparel,Revenue Comparison,Rwanda,million USD (US$),Statista Market Insights,19,21,15,14,21,23,25,26,27,29,30,32,33
Worldwide,Luxury Apparel,Revenue Comparison,Saudi Arabia,million USD (US$),Statista Market Insights,430,480,449,527,565,582,590,582,591,598,604,608,612
Worldwide,Luxury Apparel,Revenue Comparison,Senegal,million USD (US$),Statista Market Insights,6,6,6,7,7,8,8,8,8,8,8,8,8
Worldwide,Luxury Apparel,Revenue Comparison,Serbia,million USD (US$),Statista Market Insights,38,40,38,47,37,38,40,40,40,40,40,40,40
Worldwide,Luxury Apparel,Revenue Comparison,Seychelles,million USD (US$),Statista Market Insights,0,1,0,0,1,1,1,1,1,1,1,1,1
Worldwide,Luxury Apparel,Revenue Comparison,Sierra Leone,million USD (US$),Statista Market Insights,2,2,2,2,2,2,2,2,2,2,2,2,2
Worldwide,Luxury Apparel,Revenue Comparison,Singapore,million USD (US$),Statista Market Insights,614,680,532,750,802,913,927,857,878,894,908,918,927
Worldwide,Luxury Apparel,Revenue Comparison,Slovakia,million USD (US$),Statista Market Insights,57,59,54,55,56,58,60,60,61,62,62,63,64
Worldwide,Luxury Apparel,Revenue Comparison,Slovenia,million USD (US$),Statista Market Insights,66,67,63,67,63,67,69,68,69,69,70,71,71
Worldwide,Luxury Apparel,Revenue Comparison,South Africa,million USD (US$),Statista Market Insights,176,171,107,104,156,174,181,183,195,206,216,225,233
Worldwide,Luxury Apparel,Revenue Comparison,South Korea,million USD (US$),Statista Market Insights,"1,094","1,191","1,092","1,368","1,397","1,490","1,522","1,464","1,490","1,511","1,528","1,541","1,552"
Worldwide,Luxury Apparel,Revenue Comparison,Spain,million USD (US$),Statista Market Insights,"2,233","2,280","1,933","2,199","2,067","2,177","2,211","2,185","2,205","2,222","2,238","2,252","2,264"
Worldwide,Luxury Apparel,Revenue Comparison,Sri Lanka,million USD (US$),Statista Market Insights,32,35,28,25,37,38,38,36,36,36,37,37,37
Worldwide,Luxury Apparel,Revenue Comparison,Sudan,million USD (US$),Statista Market Insights,62,71,44,65,92,95,102,109,117,124,130,136,141
Worldwide,Luxury Apparel,Revenue Comparison,Suriname,million USD (US$),Statista Market Insights,1,1,1,1,1,1,1,1,1,1,1,1,1
Worldwide,Luxury Apparel,Revenue Comparison,Sweden,million USD (US$),Statista Market Insights,"1,026","1,007","1,031","1,158","1,067","1,121","1,139","1,154","1,170","1,184","1,197","1,208","1,219"
Worldwide,Luxury Apparel,Revenue Comparison,Switzerland,million USD (US$),Statista Market Insights,"1,051","1,117","1,134","1,283","1,198","1,253","1,260","1,271","1,280","1,287","1,292","1,297","1,301"
Worldwide,Luxury Apparel,Revenue Comparison,Taiwan,million USD (US$),Statista Market Insights,609,668,661,723,873,964,976,904,929,949,965,978,988
Worldwide,Luxury Apparel,Revenue Comparison,Tajikistan,million USD (US$),Statista Market Insights,3,3,3,3,3,3,4,4,4,4,4,4,4
Worldwide,Luxury Apparel,Revenue Comparison,Tanzania,million USD (US$),Statista Market Insights,63,70,71,68,79,89,96,98,103,108,113,116,120
Worldwide,Luxury Apparel,Revenue Comparison,Thailand,million USD (US$),Statista Market Insights,479,584,584,574,772,847,841,809,830,847,860,871,880
Worldwide,Luxury Apparel,Revenue Comparison,Timor-Leste,million USD (US$),Statista Market Insights,3,4,4,3,4,5,6,6,6,6,7,7,7
Worldwide,Luxury Apparel,Revenue Comparison,Togo,million USD (US$),Statista Market Insights,2,3,2,3,3,4,4,4,4,4,4,4,4
Worldwide,Luxury Apparel,Revenue Comparison,Tunisia,million USD (US$),Statista Market Insights,38,36,29,28,36,40,43,43,46,48,51,53,54
